GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Criteria - Standard,com.speedment.jpastreamer.criteria.standard,StandardCriteriaFactory,0,21,0,0,0,4,0,3,0,3
Criteria - Standard,com.speedment.jpastreamer.criteria.standard,StandardPredicateFactory,6,8,0,0,1,2,1,1,1,1
Criteria - Standard,com.speedment.jpastreamer.criteria.standard.internal.predicate,PredicateMapper,0,4,0,0,0,1,0,1,0,1
Criteria - Standard,com.speedment.jpastreamer.criteria.standard.internal.predicate,DefaultPredicateMapper,1088,3,53,0,166,1,112,1,68,1
Criteria - Standard,com.speedment.jpastreamer.criteria.standard.internal.util,Cast,58,0,6,0,14,0,6,0,3,0
Criteria - Standard,com.speedment.jpastreamer.criteria.standard.internal,InternalCriteria,0,21,0,0,0,8,0,4,0,4
Criteria - Standard,com.speedment.jpastreamer.criteria.standard.internal,InternalPredicateFactory,31,84,2,7,4,18,2,7,0,4
Criteria - Standard,com.speedment.jpastreamer.criteria.standard.internal,InternalCriteriaFactory,0,19,0,0,0,5,0,2,0,2
